"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6922","Checkboxes","chromium","Mon Aug 18 13:07:37 CEST 2025","passed","Mon Aug 18 13:07:44 CEST 2025","","UIAutomation\TC001Checkboxes.spec.js","",""
"The test checks if an active user with a valid password can sign in to the app.","9707","Checkboxes","chromium","Mon Aug 18 14:48:24 CEST 2025","passed","Mon Aug 18 14:48:34 CEST 2025","","UIAutomation\TC001Checkboxes.spec.js","",""
